time_stamp,components,perf_level,component_state
71220,T_L158,50,Service Disrupted
71220,W_PMA1034,100,Service Restored
71220,W_PMA476,100,Service Restored
71340,W_PMA1034,100,Service Restored
71340,W_PMA476,100,Service Restored
71340,W_PMA477,100,Service Restored
71340,T_L83,50,Service Disrupted
71340,T_L39,50,Repairing
71340,W_PMA879,100,Service Restored
71340,T_L158,50,Service Disrupted
93660,T_L83,50,Service Disrupted
93660,T_L158,50,Service Disrupted
93660,W_PMA1034,100,Service Restored
93660,W_PMA879,100,Service Restored
93660,W_PMA476,100,Service Restored
93660,W_PMA477,100,Service Restored
93660,T_L39,50,Repairing
93780,T_L39,100,Service Restored
93780,T_L83,50,Service Disrupted
93780,T_L158,50,Service Disrupted
93780,W_PMA1034,100,Service Restored
93780,W_PMA476,100,Service Restored
93780,W_PMA477,100,Service Restored
93780,W_PMA879,100,Service Restored
93900,T_L158,50,Service Disrupted
93900,T_L39,100,Service Restored
93900,W_PMA477,100,Service Restored
93900,W_PMA476,100,Service Restored
93900,W_PMA879,100,Service Restored
93900,W_PMA1034,100,Service Restored
93900,T_L83,50,Service Disrupted
94020,T_L158,50,Service Disrupted
94020,W_PMA1034,100,Service Restored
94020,W_PMA879,100,Service Restored
94020,T_L83,50,Service Disrupted
94020,W_PMA476,100,Service Restored
94020,W_PMA477,100,Service Restored
94020,T_L39,100,Service Restored
94800,T_L158,50,Repairing
94800,W_PMA477,100,Service Restored
94800,W_PMA476,100,Service Restored
94800,W_PMA879,100,Service Restored
94800,W_PMA1034,100,Service Restored
94800,T_L83,50,Service Disrupted
94800,T_L39,100,Service Restored
107700,T_L83,50,Service Disrupted
107700,T_L158,50,Repairing
107700,W_PMA1034,100,Service Restored
107700,W_PMA879,100,Service Restored
107700,W_PMA477,100,Service Restored
107700,W_PMA476,100,Service Restored
107700,T_L39,100,Service Restored
161520,W_PMA879,100,Service Restored
161520,T_L83,50,Service Disrupted
161520,W_PMA1034,100,Service Restored
161520,W_PMA477,100,Service Restored
161520,T_L158,50,Repairing
161520,T_L39,100,Service Restored
161520,W_PMA476,100,Service Restored
181080,T_L83,50,Service Disrupted
181080,T_L158,50,Repairing
181080,W_PMA477,100,Service Restored
181080,W_PMA476,100,Service Restored
181080,W_PMA879,100,Service Restored
181080,W_PMA1034,100,Service Restored
181080,T_L39,100,Service Restored
181200,T_L158,100,Service Restored
181200,T_L39,100,Service Restored
181200,W_PMA477,100,Service Restored
181200,W_PMA476,100,Service Restored
181200,W_PMA879,100,Service Restored
181200,W_PMA1034,100,Service Restored
181200,T_L83,50,Service Disrupted
181320,T_L158,100,Service Restored
181320,W_PMA477,100,Service Restored
181320,W_PMA476,100,Service Restored
181320,W_PMA879,100,Service Restored
181320,W_PMA1034,100,Service Restored
181320,T_L83,50,Service Disrupted
181320,T_L39,100,Service Restored
181440,T_L158,100,Service Restored
181440,W_PMA477,100,Service Restored
181440,W_PMA476,100,Service Restored
181440,W_PMA1034,100,Service Restored
181440,W_PMA879,100,Service Restored
181440,T_L83,50,Service Disrupted
181440,T_L39,100,Service Restored
182400,T_L158,100,Service Restored
182400,W_PMA477,100,Service Restored
182400,T_L83,50,Repairing
182400,W_PMA476,100,Service Restored
182400,W_PMA879,100,Service Restored
182400,W_PMA1034,100,Service Restored
182400,T_L39,100,Service Restored
215340,W_PMA879,100,Service Restored
215340,T_L83,50,Repairing
215340,W_PMA476,100,Service Restored
215340,T_L158,100,Service Restored
215340,W_PMA477,100,Service Restored
215340,W_PMA1034,100,Service Restored
215340,T_L39,100,Service Restored
268680,T_L83,50,Repairing
268680,W_PMA477,100,Service Restored
268680,W_PMA476,100,Service Restored
268680,W_PMA879,100,Service Restored
268680,W_PMA1034,100,Service Restored
268680,T_L158,100,Service Restored
268680,T_L39,100,Service Restored
268800,W_PMA1034,100,Service Restored
268800,T_L83,100,Service Restored
268800,W_PMA477,100,Service Restored
268800,W_PMA476,100,Service Restored
268800,T_L39,100,Service Restored
268800,T_L158,100,Service Restored
268800,W_PMA879,100,Service Restored
268920,T_L83,100,Service Restored
268920,W_PMA477,100,Service Restored
268920,W_PMA476,100,Service Restored
268920,W_PMA879,100,Service Restored
268920,W_PMA1034,100,Service Restored
268920,T_L158,100,Service Restored
268920,T_L39,100,Service Restored
269040,W_PMA477,100,Service Restored
269040,W_PMA476,100,Service Restored
269040,T_L83,100,Service Restored
269040,W_PMA879,100,Service Restored
269040,W_PMA1034,100,Service Restored
269040,T_L39,100,Service Restored
269040,T_L158,100,Service Restored
