Node	X	Y	;
T_J96	-10026435	4171427	;
T_J97	-10003883	4170671	;
T_J98	-9980423	4170082	;
T_J99	-10002876	4170651	;
T_J100	-9988990	4170285	;
T_J101	-9988950	4170856	;
T_J102	-9991977	4172421	;
T_J103	-9980235	4173951	;
T_J104	-9995847	4173967	;
T_J105	-9988045	4170525	;
T_J106	-9999826	4170563	;
T_J107	-9999716	4171308	;
T_J108	-10003837	4172123	;
T_J109	-10003883	4170671	;
T_J110	-10008261	4172350	;
T_J111	-10011424	4170972	;
T_J112	-9997951	4171018	;
T_J113	-9998890	4171021	;
T_J114	-10013433	4170952	;
T_J115	-10013433	4170952	;
T_J116	-10011227	4171607	;
T_J117	-9988711	4173393	;
T_J118	-9990932	4172418	;
T_J119	-10013678	4173259	;
T_J120	-9997909	4173143	;
T_J121	-10020314	4171274	;
T_J122	-10019592	4171196	;
T_J123	-10019539	4172183	;
T_J124	-10017592	4172080	;
T_J125	-10021533	4171279	;
T_J126	-10025032	4171336	;
T_J127	-10020720	4172135	;
T_J128	-10021417	4172236	;
T_J129	-9999623	4171607	;
T_J130	-10025311	4172459	;
T_J131	-10026182	4173011	;
T_J132	-10011211	4172702	;
T_J133	-10012208	4172703	;
T_J134	-10001378	4172041	;
T_J135	-10002859	4172063	;
T_J136	-10001344	4172631	;
T_J137	-10017180	4173207	;
T_J138	-10006045	4172292	;
T_J139	-10019682	4173771	;
T_J140	-10001324	4172968	;
T_J141	-10008275	4173926	;
T_J142	-10021356	4172562	;
T_J143	-9991938	4173105	;
T_J144	-10025317	4172911	;
T_J145	-10021080	4173589	;
T_J146	-10001317	4173206	;
T_J147	-10012634	4173260	;
T_J148	-10011128	4174260	;
T_J149	-10021857	4173774	;
T_J150	-10025789	4174765	;
T_J151	-10001324	4172968	;
T_J152	-9997689	4175427	;
T_J153	-9995492	4175358	;
T_J154	-9991767	4177017	;
T_J155	-10017180	4173207	;
T_J156	-10013381	4174301	;
T_J157	-9983796	4173265	;
T_J158	-9985958	4173364	;
T_J159	-9983730	4174644	;
T_J160	-10002732	4173328	;
T_J161	-10017115	4174249	;
T_J162	-9985902	4174704	;
T_J163	-9988711	4173393	;
T_J164	-10003195	4174099	;
T_J165	-9988699	4176837	;
T_J166	-10020831	4175196	;
T_J167	-10003537	4173728	;
T_J168	-10005883	4174425	;
T_J169	-10025106	4174637	;
T_J170	-10006366	4174803	;
T_J171	-9979916	4174545	;
T_J172	-9983381	4174895	;
T_J173	-9995847	4173967	;
T_J174	-10005169	4175247	;
T_J175	-10013666	4174918	;
T_J176	-10011105	4174719	;
T_J177	-10008411	4174546	;
T_J178	-10006954	4175266	;
T_J179	-10025106	4174637	;
T_J180	-10017131	4178180	;
T_J181	-10025070	4175677	;
T_J182	-10011108	4176514	;
T_J183	-10021600	4175224	;
T_J184	-10004483	4175981	;
T_J185	-10007200	4175542	;
T_J186	-10027121	4175269	;
T_J187	-10027121	4175269	;
T_J188	-10027258	4175701	;
T_J189	-9995483	4176872	;
T_J190	-9997773	4175846	;
T_J191	-10006669	4176079	;
T_J192	-10007191	4176279	;
T_J193	-10003029	4175557	;
T_J194	-10003008	4177573	;
T_J195	-10024915	4178531	;
T_J196	-9979784	4175697	;
T_J197	-9997454	4176511	;
T_J198	-10005913	4176204	;
T_J199	-10004301	4177428	;
T_J200	-10009400	4176804	;
T_J201	-10007115	4178372	;
T_J202	-10013046	4176669	;
T_J203	-9997738	4176640	;
T_J204	-10000881	4177226	;
T_J205	-10015482	4176971	;
T_J206	-10013097	4177375	;
T_J207	-9988847	4178948	;
T_J208	-9997292	4176902	;
T_J209	-9992701	4177433	;
T_J210	-9995874	4178852	;
T_J211	-10011012	4177357	;
T_J212	-10009376	4178413	;
T_J213	-9996711	4179246	;
T_J214	-10000947	4176926	;
T_J215	-10015482	4176971	;
T_J216	-10017131	4178180	;
T_J217	-10015359	4177578	;
T_J218	-10000881	4177226	;
T_J219	-10002335	4177452	;
T_J220	-10000856	4180058	;
T_J221	-10011026	4178450	;
T_J222	-10005842	4177944	;
T_J223	-10015379	4178545	;
T_J224	-10004301	4178031	;
T_J225	-10006523	4178317	;
T_J226	-10017883	4178915	;
T_J227	-10017035	4178650	;
T_J228	-10006350	4178737	;
T_J229	-10008507	4178471	;
T_J230	-10010540	4178523	;
T_J231	-10008507	4178471	;
T_J232	-10008660	4179814	;
T_J233	-10021977	4178832	;
T_J234	-10010481	4179594	;
T_J235	-10027148	4178587	;
T_J236	-10012753	4178536	;
T_J237	-10026208	4180885	;
T_J238	-10017082	4179432	;
T_J239	-9980679	4178991	;
T_J240	-10021173	4178731	;
T_J241	-10007160	4179206	;
T_J242	-10006203	4181635	;
T_J243	-9988602	4180895	;
T_J244	-10020418	4181006	;
T_J245	-10017082	4179432	;
T_J246	-9986379	4180257	;
T_J247	-9996135	4181824	;
T_J248	-10007447	4181694	;
T_J249	-10017007	4181004	;
T_J250	-10010537	4180684	;
T_J251	-9987902	4179809	;
T_J252	-10002788	4181785	;
T_J253	-9986410	4185429	;
T_J254	-10012659	4180611	;
T_J255	-10024869	4180794	;
T_J256	-10023475	4180841	;
T_J257	-10024811	4181946	;
T_J258	-10012639	4181233	;
T_J259	-10029386	4182580	;
T_J260	-10024760	4183995	;
T_J261	-9988514	4181485	;
T_J262	-10021384	4182545	;
T_J263	-10016914	4181982	;
T_J264	-9993203	4181275	;
T_J265	-9993056	4183207	;
T_J266	-9981308	4185512	;
T_J267	-10012609	4181833	;
T_J268	-10021492	4181774	;
T_J269	-10021067	4181471	;
T_J270	-9988437	4185670	;
T_J271	-10016824	4182919	;
T_J272	-10004020	4181714	;
T_J273	-10006346	4184098	;
T_J274	-10007429	4183974	;
T_J275	-10008552	4181764	;
T_J276	-10010483	4181719	;
T_J277	-10010797	4181814	;
T_J278	-10006128	4184569	;
T_J279	-10021384	4182545	;
T_J280	-10010738	4183816	;
T_J281	-10012597	4184008	;
T_J282	-10016674	4184121	;
T_J283	-10021264	4183506	;
T_J284	-9996001	4183211	;
T_J285	-10021288	4183237	;
T_J286	-10023707	4183693	;
T_J287	-9996047	4184659	;
T_J288	-10022374	4183714	;
T_J289	-10008521	4183673	;
T_J290	-10023559	4184067	;
T_J291	-10008507	4184066	;
T_J292	-10022728	4183783	;
T_J293	-10024270	4183767	;
T_J294	-10024368	4183902	;
T_J295	-10010749	4184191	;
T_J296	-10024239	4184264	;
T_J297	-10023192	4184503	;
T_J298	-10007429	4183974	;
T_J299	-10024605	4184594	;
T_J300	-10007418	4184098	;
T_J301	-10008321	4184158	;
T_J302	-10012978	4184089	;
T_J303	-10012876	4185963	;
T_J304	-10016705	4184404	;
T_J305	-10008263	4185771	;
T_J306	-10021280	4184202	;
T_J307	-10022308	4184322	;
T_J308	-10006229	4184689	;
T_J309	-10022212	4184966	;
T_J310	-10018457	4184672	;
T_J311	-10016554	4185333	;
T_J312	-10000023	4186523	;
T_J313	-10000650	4184499	;
T_J314	-10002145	4186079	;
T_J315	-10000596	4186546	;
T_J316	-10032875	4185205	;
T_J317	-10024141	4184728	;
T_J318	-10021116	4184854	;
T_J319	-10018341	4185709	;
T_J320	-10004121	4187284	;
T_J321	-10022804	4186215	;
T_J322	-9993313	4185166	;
T_J323	-9978520	4185132	;
T_J324	-9980102	4191218	;
T_J325	-9991707	4186203	;
T_J326	-10020789	4187115	;
T_J327	-10016062	4185428	;
T_J328	-9995661	4187463	;
T_J329	-10020056	4185390	;
T_J330	-10019692	4187414	;
T_J331	-10007346	4185511	;
T_J332	-10007163	4185558	;
T_J333	-9988363	4189475	;
T_J334	-10018285	4187354	;
T_J335	-10014565	4185736	;
T_J336	-10012345	4187315	;
T_J337	-10014549	4187566	;
T_J338	-10007901	4186861	;
T_J339	-10010650	4185927	;
T_J340	-10012529	4185911	;
T_J341	-10003280	4186330	;
T_J342	-9991433	4191668	;
T_J343	-10022728	4187672	;
T_J344	-10000501	4187777	;
T_J345	-9997958	4189164	;
T_J346	-10000570	4187210	;
T_J347	-10007254	4187795	;
T_J348	-10020834	4187637	;
T_J349	-10004312	4187512	;
T_J350	-10003048	4188508	;
T_J351	-10016018	4187627	;
T_J352	-10018080	4190134	;
T_J353	-9995591	4190502	;
T_J354	-10004430	4188757	;
T_J355	-10012498	4187662	;
T_J356	-10013895	4189803	;
T_J357	-10012498	4187662	;
T_J358	-10016060	4189955	;
T_J359	-10012600	4189735	;
T_J360	-10022600	4191025	;
T_J361	-10000535	4188148	;
T_J362	-10007112	4190122	;
T_J363	-10000505	4190452	;
T_J364	-10000873	4191136	;
T_J365	-9991615	4188049	;
T_J366	-10003670	4191726	;
T_J367	-9989003	4191877	;
T_J368	-9998186	4190314	;
T_J369	-10012616	4190946	;
T_J370	-10020541	4189849	;
T_J371	-10019617	4190072	;
T_J372	-10016069	4190965	;
T_J373	-10010557	4190166	;
T_J374	-10007023	4192028	;
T_J375	-10009205	4191907	;
T_J376	-10019610	4191014	;
T_J377	-9998112	4191731	;
T_J378	-10019215	4190816	;
T_J379	-9995591	4190502	;
T_J380	-9995603	4191691	;
T_J381	-9993103	4191781	;
T_J382	-10018143	4190711	;
T_J383	-10016075	4192204	;
T_J384	-10010268	4191790	;
T_J385	-10022483	4191569	;
T_J386	-10019166	4192184	;
T_J387	-10014137	4191069	;
T_J388	-10013856	4194239	;
T_J389	-10000229	4191877	;
T_J390	-9980262	4192466	;
T_J391	-9995600	4193334	;
T_J392	-10001023	4191743	;
T_J393	-10003670	4191726	;
T_J394	-10005488	4191830	;
T_J395	-9998118	4192855	;
T_J396	-10000515	4193421	;
T_J397	-10005759	4193902	;
T_J398	-10010018	4192345	;
T_J399	-9999316	4193091	;
T_J400	-10006966	4193980	;
T_J401	-9989481	4194325	;
T_J402	-10018136	4192160	;
T_J403	-10018030	4193468	;
T_J404	-10019136	4193473	;
T_J405	-10022164	4193305	;
T_J406	-10010643	4193919	;
T_J407	-9979835	4192462	;
T_J408	-9981490	4199593	;
T_J409	-10008706	4193993	;
T_J410	-9997628	4195020	;
T_J411	-9997370	4193408	;
T_J412	-10003504	4193588	;
T_J413	-10020270	4196040	;
T_J414	-10016017	4195640	;
T_J415	-10000521	4195048	;
T_J416	-10016069	4193910	;
T_J417	-10010488	4196933	;
T_J418	-10007136	4195883	;
T_J419	-9982781	4198719	;
T_J420	-10006335	4196920	;
T_J421	-10007284	4196866	;
T_J422	-10017972	4209495	;
T_J423	-10016772	4201020	;
T_J424	-9995761	4196146	;
T_J425	-9995117	4199391	;
T_J426	-10005291	4196701	;
T_J427	-10006337	4196924	;
T_J428	-9990778	4198660	;
T_J429	-10006449	4199395	;
T_J430	-10005390	4197929	;
T_J431	-10012756	4197023	;
T_J432	-10010944	4198904	;
T_J433	-10010692	4197819	;
T_J434	-10004574	4199072	;
T_J435	-9983789	4203208	;
T_J436	-10000209	4198868	;
T_J437	-10010882	4200901	;
T_J438	-9992991	4199815	;
T_J439	-10005585	4205559	;
T_J440	-9982643	4203824	;
T_J441	-10014349	4201328	;
T_J442	-10009082	4205080	;
T_J443	-10015965	4202011	;
T_J444	-9978151	4201703	;
T_J445	-10015044	4203026	;
T_J446	-9982643	4203824	;
T_J447	-9981265	4204564	;
T_J448	-10012255	4206291	;
T_J449	-9992431	4204153	;
T_J450	-9996060	4204822	;
T_J451	-9992314	4206096	;
T_J452	-9982427	4207539	;
T_J453	-9978098	4207076	;
T_J454	-9999846	4204725	;
T_J455	-9998849	4205926	;
T_J456	-10000533	4204754	;
T_J457	-9995641	4205808	;
T_J458	-9995094	4210591	;
T_J459	-10008966	4205831	;
T_J460	-10012255	4206291	;
T_J461	-10007455	4208916	;
T_J462	-10000424	4205885	;
T_J463	-10009797	4209007	;
T_J464	-9991594	4209378	;
T_J465	-10004654	4207346	;
T_J466	-9978108	4207812	;
T_J467	-9982979	4208649	;
T_J468	-10006317	4210372	;
T_J469	-10008386	4210783	;
T_J470	-10008386	4210783	;
T_J471	-9999877	4209637	;
T_J472	-9991670	4214952	;
T_J473	-10006627	4213171	;
T_J474	-10007776	4211550	;
T_J475	-9993206	4215208	;
T_J476	-10003754	4216075	;
T_J477	-9981702	4215761	;
T_J478	-10003754	4216075	;
T_J479	-9987678	4218725	;
T_J480	-10012589	4184228	;
T_J481	-10001344	4172631	;
T_J482	-10012589	4184228	;
T_J483	-10016914	4181982	;
